rodada;data;hora;time_casa;time_fora;gols_casa;gols_fora;tecnico_casa;tecnico_fora;estadio;stat_chutes_casa;stat_chutes_fora;stat_chutes_a_gol_casa;stat_chutes_a_gol_fora;stat_posse_de_bola_casa;stat_posse_de_bola_fora;stat_passes_casa;stat_passes_fora;stat_precisão_de_passe_casa;stat_precisão_de_passe_fora;stat_faltas_casa;stat_faltas_fora;stat_cartões_amarelos_casa;stat_cartões_amarelos_fora;stat_cartões_vermelhos_casa;stat_cartões_vermelhos_fora;stat_impedimentos_casa;stat_impedimentos_fora;stat_escanteios_casa;stat_escanteios_fora
19;24/07/2022;18:01;Atlético-MG;Corinthians;1;2;L. Gonçalves;V. de Oliveira Lopes Pereira;Mineirão;14;7;6;3;53%;47%;521;474;83%;79%;11;12;2;1;0;0;2;0;5;0
19;24/07/2022;17:59;Atlético-GO;América-MG;0;1;J. de Amorim Campos;V. Carmo Mancini;Estádio Antônio Accioly;23;10;6;3;65%;35%;554;318;83%;67%;4;12;0;1;0;0;2;2;6;3
19;24/07/2022;18:59;Fortaleza;Santos;0;0;J. Vojvoda;L. Cirne Lima de Lorenzi;Arena Castelão;27;11;2;3;53%;47%;381;375;80%;71%;11;11;4;4;0;0;3;1;7;5
19;25/07/2022;20:01;Coritiba;Cuiabá;1;0;G. Morínigo;A. Cardoso de Oliveira;Couto Pereira;4;8;2;0;42%;58%;365;490;75%;84%;16;12;4;3;1;0;0;1;4;4
20;30/07/2022;16:31;Goiás;Coritiba;1;0;J. Ribeiro Ventura;G. Morínigo;Estádio da Serrinha;18;20;4;3;49%;51%;356;355;79%;80%;18;11;1;2;0;1;1;3;3;7
20;30/07/2022;16:32;Ceará SC;Palmeiras;1;2;M. dos Santos Gonçalves;A. Moreira Ferreira;Arena Castelão;12;16;7;7;47%;53%;373;424;79%;86%;14;11;3;3;1;0;0;5;6;5
20;30/07/2022;19:01;Corinthians;Botafogo;1;0;V. de Oliveira Lopes Pereira;L. Castro;Neo Química Arena;16;10;4;3;49%;51%;484;488;78%;80%;6;6;0;0;0;0;1;0;3;4
20;30/07/2022;20:29;Flamengo;Atlético-GO;4;1;D. Silvestre Júnior;J. de Amorim Campos;Maracanã;16;5;6;1;52%;48%;469;433;85%;84%;12;16;0;7;0;1;1;0;6;3
20;31/07/2022;16:01;Athletico-PR;São Paulo;1;0;L. Scolari;R. Ceni;Estádio Joaquim Américo Guimarães;10;12;4;2;39%;61%;312;484;75%;85%;15;13;3;4;0;0;1;1;6;5
20;31/07/2022;15:59;Internacional;Atlético-MG;3;0;S. Lobo;A. Stival;Estádio José Pinheiro Borda;9;21;3;5;31%;69%;277;600;70%;88%;13;12;1;1;0;0;1;1;1;7
20;31/07/2022;18:00;Cuiabá;Fortaleza;0;1;A. Cardoso de Oliveira;J. Vojvoda;Arena Pantanal;19;7;5;2;57%;43%;429;344;80%;77%;11;10;2;4;0;0;0;1;10;3
20;31/07/2022;18:00;América-MG;Avaí;3;1;V. Carmo Mancini;E. de Souza Barroca;Estádio Raimundo Sampaio;18;10;6;3;47%;53%;372;422;76%;79%;16;17;1;0;0;0;0;2;7;7
20;31/07/2022;19:00;Bragantino;Juventude;1;0;M. Nogueira Barbieri;U. Louzer Filho;Nabizão;23;9;5;3;52%;48%;445;421;85%;79%;11;15;1;1;0;0;2;1;7;5
20;01/08/2022;20:00;Santos;Fluminense;2;2;L. Cirne Lima de Lorenzi;E. de Barros;Estádio Urbano Caldeira;10;12;3;7;32%;68%;314;660;79%;91%;14;12;2;5;0;0;2;0;5;5
