rodada;data;hora;time_casa;time_fora;gols_casa;gols_fora;tecnico_casa;tecnico_fora;estadio;stat_chutes_casa;stat_chutes_fora;stat_chutes_a_gol_casa;stat_chutes_a_gol_fora;stat_posse_de_bola_casa;stat_posse_de_bola_fora;stat_passes_casa;stat_passes_fora;stat_faltas_casa;stat_faltas_fora;stat_cartões_amarelos_casa;stat_cartões_amarelos_fora;stat_cartões_vermelhos_casa;stat_cartões_vermelhos_fora;stat_impedimentos_casa;stat_impedimentos_fora;stat_escanteios_casa;stat_escanteios_fora
19;04/09/2016;16:00;Botafogo;Grêmio;2;1;J. Ribeiro Ventura;R. Machado Marques;Luso-Brasileiro;10;8;0;0;37%;63%;292;507;16;25;3;4;0;0;4;1;6;4
20;13/08/2016;15:59;Sport Recife;Flamengo;1;0;O. de Oliveira Filho;J. Mannarino;Arena de Pernambuco;13;11;0;0;37%;63%;315;522;24;15;2;3;0;0;1;0;5;9
20;13/08/2016;18:32;Ponte Preta;Figueirense;2;0;E. Baptista;A. Fucks;Moisés Lucarelli;15;3;0;0;42%;58%;272;395;21;25;2;2;0;0;1;3;11;3
20;14/08/2016;11:00;Fluminense;América-MG;1;0;L. Culpi;E. Alves Moreira;Kléber Andrade;16;5;0;0;60%;40%;482;331;12;28;2;5;0;0;2;0;9;2
20;14/08/2016;11:01;Grêmio;Corinthians;3;0;R. Machado Marques;C. Borges dos Santos;Arena do Grêmio;13;26;0;0;39%;61%;349;509;15;14;4;1;0;0;3;0;6;10
20;14/08/2016;15:59;Cruzeiro;Coritiba;2;2;L. Venker de Menezes;P. Carpegiani;Estádio Raimundo Sampaio;17;7;0;0;67%;33%;503;256;15;20;2;4;0;0;4;2;4;5
20;14/08/2016;16:02;Santos;Atlético-MG;3;0;D. Silvestre Júnior;M. de Oliveira Santos;Estádio Urbano Caldeira;12;13;0;0;37%;63%;314;530;24;9;4;4;0;0;1;3;4;7
20;14/08/2016;15:58;EC Vitória;Santa Cruz;2;2;V. Carmo Mancini;A. Felix Teixeira;Barradão;14;10;0;0;53%;47%;398;343;15;20;1;2;0;0;2;9;3;5
20;14/08/2016;16:18;São Paulo;Botafogo;0;1;A. Soares Jardine;J. Ribeiro Ventura;Morumbi;13;6;0;0;63%;37%;491;295;11;14;2;2;0;0;2;1;8;7
20;14/08/2016;18:30;Athletico-PR;Palmeiras;0;1;P. Autuori de Mello;A. Stival;Estádio Joaquim Américo Guimarães;7;12;0;0;58%;42%;485;350;12;15;3;3;0;0;1;3;4;7
20;15/08/2016;20:01;Chapecoense;Internacional;1;0;L. Saroli Caio Júnior;C. Juarez Roth;Arena Condá;16;10;0;0;58%;42%;360;266;15;18;1;2;0;0;1;0;2;5
21;19/08/2016;21:30;América-MG;Chapecoense;1;2;E. Alves Moreira;L. Saroli Caio Júnior;Estádio Raimundo Sampaio;13;12;0;0;51%;49%;412;396;13;10;1;1;0;0;0;0;6;4
21;20/08/2016;21:00;Botafogo;Sport Recife;3;0;J. Ribeiro Ventura;O. de Oliveira Filho;Helenão;18;15;0;0;44%;56%;378;483;19;12;1;2;0;0;1;1;3;2
21;21/08/2016;11:01;Flamengo;Grêmio;2;1;J. Mannarino;R. Machado Marques;Estádio Nacional de Brasília;18;10;0;0;51%;49%;433;434;14;16;2;1;0;0;1;1;7;4
21;21/08/2016;10:59;Atlético-MG;Athletico-PR;1;0;M. de Oliveira Santos;P. Autuori de Mello;Estádio Raimundo Sampaio;14;12;0;0;61%;39%;509;332;15;15;0;2;0;0;1;0;6;5
21;21/08/2016;16:00;Internacional;São Paulo;1;1;C. Juarez Roth;R. Gomes Raymundo;Estádio José Pinheiro Borda;30;5;0;0;59%;41%;454;346;9;22;1;2;0;0;2;0;8;0
21;21/08/2016;15:59;Santa Cruz;Fluminense;0;1;D. Ghidoni Junior;L. Culpi;Estádio do Arruda;18;6;0;0;59%;41%;484;341;16;16;0;2;0;0;2;1;8;4
21;21/08/2016;15:58;Palmeiras;Ponte Preta;2;2;A. Stival;E. Baptista;Allianz Parque;18;11;0;0;66%;34%;455;238;12;22;3;6;0;0;2;0;4;9
21;21/08/2016;18:02;Coritiba;Santos;2;1;P. Carpegiani;D. Silvestre Júnior;Couto Pereira;16;8;0;0;51%;49%;403;410;13;16;1;3;0;0;4;5;5;5
21;21/08/2016;18:33;Figueirense;Cruzeiro;1;2;A. Fucks;L. Venker de Menezes;Orlando Scarpelli;15;13;0;0;49%;51%;389;416;20;24;3;5;1;0;1;3;8;2
21;22/08/2016;20:02;Corinthians;EC Vitória;2;1;C. Borges dos Santos;V. Carmo Mancini;Neo Química Arena;17;9;0;0;56%;44%;484;385;15;20;2;4;0;0;1;2;8;3
22;27/08/2016;16:03;Ponte Preta;Corinthians;2;0;E. Baptista;C. Borges dos Santos;Moisés Lucarelli;15;2;0;0;52%;48%;471;458;15;8;2;1;0;1;6;0;8;0
22;28/08/2016;11:01;Cruzeiro;Santa Cruz;2;0;L. Venker de Menezes;D. Ghidoni Junior;Mineirão;12;12;0;0;46%;54%;374;428;17;13;3;3;0;0;3;4;8;6
22;28/08/2016;11:00;Santos;Figueirense;0;1;D. Silvestre Júnior;T. Guimarães;Estádio Urbano Caldeira;22;4;0;0;73%;27%;611;242;13;12;3;2;0;0;3;2;11;3
22;28/08/2016;15:59;Grêmio;Atlético-MG;1;1;R. Machado Marques;M. de Oliveira Santos;Arena do Grêmio;24;3;0;0;62%;38%;623;383;18;17;4;4;0;0;1;1;7;0
22;28/08/2016;16:00;Fluminense;Palmeiras;0;2;L. Culpi;A. Stival;Estádio Nacional de Brasília;8;16;0;0;59%;41%;428;304;17;20;7;5;0;0;2;2;5;5
22;28/08/2016;16:02;Chapecoense;Flamengo;1;3;L. Saroli Caio Júnior;J. Mannarino;Arena Condá;18;17;0;0;43%;57%;351;492;15;13;4;0;0;0;1;2;6;3
22;28/08/2016;16:01;São Paulo;Coritiba;0;0;R. Gomes Raymundo;P. Carpegiani;Morumbi;16;6;0;0;67%;33%;506;264;18;16;2;1;0;0;5;1;13;0
22;28/08/2016;18:29;Sport Recife;Internacional;1;1;O. de Oliveira Filho;C. Juarez Roth;Arena de Pernambuco;11;7;0;0;63%;37%;474;288;18;19;4;5;0;0;0;2;9;4
22;28/08/2016;18:30;EC Vitória;América-MG;2;1;V. Carmo Mancini;E. Alves Moreira;Itaipava Arena Fonte Nova;9;12;0;0;48%;52%;379;389;20;19;3;5;0;0;1;4;4;8
22;29/08/2016;20:00;Athletico-PR;Botafogo;1;0;P. Autuori de Mello;J. Ribeiro Ventura;Estádio Joaquim Américo Guimarães;10;13;0;0;42%;58%;344;477;12;14;3;2;0;0;0;3;6;6
