rodada;data;hora;time_casa;time_fora;gols_casa;gols_fora;tecnico_casa;tecnico_fora;estadio;stat_chutes_casa;stat_chutes_fora;stat_chutes_a_gol_casa;stat_chutes_a_gol_fora;stat_posse_de_bola_casa;stat_posse_de_bola_fora;stat_passes_casa;stat_passes_fora;stat_faltas_casa;stat_faltas_fora;stat_cartões_amarelos_casa;stat_cartões_amarelos_fora;stat_cartões_vermelhos_casa;stat_cartões_vermelhos_fora;stat_impedimentos_casa;stat_impedimentos_fora;stat_escanteios_casa;stat_escanteios_fora
9;22/06/2017;21:00;Flamengo;Chapecoense;5;1;J. Mannarino;V. Carmo Mancini;Luso-Brasileiro;20;13;11;2;52%;48%;359;329;21;13;3;1;0;0;3;1;6;7
10;24/06/2017;19:01;Santos;Sport Recife;0;1;L. Culpi;V. Luxemburgo da Silva;Estádio Urbano Caldeira;9;9;3;3;57%;43%;531;416;13;17;0;1;0;0;0;1;9;0
10;25/06/2017;10:59;Vasco da Gama;Atlético-GO;1;0;M. Mendes;D. Ghidoni Junior;Estádio Vasco da Gama;12;5;5;2;53%;47%;434;398;21;19;2;0;0;0;0;1;3;1
10;25/06/2017;16:00;Grêmio;Corinthians;0;1;Renato Gaúcho;F. Carille;Arena do Grêmio;15;5;6;3;57%;43%;564;448;16;16;4;5;0;0;2;0;7;2
10;25/06/2017;16:00;São Paulo;Fluminense;1;1;R. Ceni;A. da Silva Braga;Morumbi;15;9;3;6;52%;48%;365;342;12;25;1;1;0;0;0;4;6;3
10;25/06/2017;16:01;Athletico-PR;EC Vitória;4;1;E. Baptista;A. Tadeu Gallo;Estádio Joaquim Américo Guimarães;15;12;11;3;48%;52%;473;517;10;11;0;3;0;0;3;2;5;1
10;25/06/2017;15:59;Cruzeiro;Coritiba;2;0;L. Venker de Menezes;E. Pacheco;Mineirão;22;9;9;2;55%;45%;413;333;15;26;0;2;0;0;2;2;8;9
10;25/06/2017;16:02;Ponte Preta;Palmeiras;1;2;G. Kleina;A. Stival;Moisés Lucarelli;9;6;2;2;56%;44%;440;365;21;28;6;3;2;1;3;0;2;4
10;25/06/2017;18:33;Bahia;Flamengo;0;1;J. de Amorim Campos;J. Mannarino;Itaipava Arena Fonte Nova;14;13;3;4;42%;58%;375;518;6;23;1;3;1;0;1;0;5;3
10;25/06/2017;19:00;Chapecoense;Atlético-MG;0;1;V. Carmo Mancini;R. Machado Marques;Arena Condá;15;5;1;3;68%;32%;462;237;24;19;5;5;0;0;2;7;8;0
10;26/06/2017;20:00;Botafogo;Avaí;0;2;J. Ribeiro Ventura;C. dos Santos Oliveira;Estádio Nilton Santos;31;8;9;2;73%;27%;588;231;11;10;1;2;0;0;1;0;17;2
11;01/07/2017;16:02;Palmeiras;Grêmio;1;0;A. Stival;Renato Gaúcho;Estádio Municipal Paulo Machado de Carvalho;14;6;1;2;61%;39%;480;328;23;14;3;1;0;0;2;1;4;0
11;01/07/2017;18:59;Atlético-GO;Santos;1;1;D. Ghidoni Junior;L. Culpi;Estádio Olímpico Pedro Ludovico Teixeira;16;13;4;2;32%;68%;263;553;14;10;2;1;1;0;0;4;3;11
11;02/07/2017;16:00;Sport Recife;Athletico-PR;1;0;V. Luxemburgo da Silva;E. Baptista;Adelmar da Costa Carvalho;19;2;3;1;58%;42%;466;351;12;18;1;3;0;0;0;2;11;4
11;02/07/2017;16:01;EC Vitória;Bahia;0;0;A. Tadeu Gallo;L. Quintanilha;Barradão;21;6;7;1;56%;44%;439;359;17;16;5;3;0;0;1;2;11;5
11;02/07/2017;15:59;Atlético-MG;Cruzeiro;3;1;R. Machado Marques;L. Venker de Menezes;Estádio Raimundo Sampaio;11;10;4;5;47%;53%;357;394;23;18;4;4;0;0;3;1;4;3
11;02/07/2017;16:01;Flamengo;São Paulo;2;0;J. Mannarino;R. Ceni;Luso-Brasileiro;15;12;7;2;47%;53%;412;464;17;14;1;1;0;0;5;0;10;0
11;02/07/2017;16:00;Corinthians;Botafogo;1;0;F. Carille;J. Ribeiro Ventura;Neo Química Arena;19;3;9;0;67%;33%;645;342;14;14;3;2;0;0;2;1;10;2
11;02/07/2017;19:01;Avaí;Ponte Preta;0;0;C. dos Santos Oliveira;Juninho;Ressacada;10;18;3;3;44%;56%;407;525;14;25;2;2;0;0;3;0;6;5
11;02/07/2017;18:59;Coritiba;Vasco da Gama;2;2;E. Pacheco;M. Mendes;Vila Capanema;16;10;5;4;61%;39%;395;253;17;20;3;5;0;0;2;1;8;5
11;03/07/2017;20:00;Fluminense;Chapecoense;3;3;A. da Silva Braga;V. Carmo Mancini;Estádio Giulite Coutinho;12;23;8;7;69%;31%;453;202;14;22;3;4;0;1;6;2;6;5
12;08/07/2017;15:58;Atlético-GO;EC Vitória;1;2;D. Ghidoni Junior;A. Tadeu Gallo;Estádio Olímpico Pedro Ludovico Teixeira;18;9;5;6;51%;49%;353;366;12;23;1;4;0;0;3;4;14;4
12;08/07/2017;18:01;Vasco da Gama;Flamengo;0;1;M. Mendes;J. Mannarino;Estádio Vasco da Gama;10;9;1;3;41%;59%;282;415;23;15;4;1;0;0;2;2;6;9
12;08/07/2017;19:01;Corinthians;Ponte Preta;2;0;F. Carille;G. Kleina;Neo Química Arena;13;20;8;6;48%;52%;498;518;17;8;2;2;0;0;1;4;2;5
12;09/07/2017;11:01;Chapecoense;Athletico-PR;1;1;V. Eutrópio;E. Baptista;Arena Condá;26;4;6;3;43%;57%;359;504;18;13;1;3;0;0;0;4;10;2
12;09/07/2017;16:01;Bahia;Fluminense;1;1;J. de Amorim Campos;A. da Silva Braga;Itaipava Arena Fonte Nova;20;7;5;2;73%;27%;620;242;16;18;4;2;0;0;2;1;10;2
12;09/07/2017;16:01;Grêmio;Avaí;0;2;Renato Gaúcho;C. dos Santos Oliveira;Arena do Grêmio;19;8;11;3;73%;27%;685;257;9;17;1;4;0;1;2;1;11;5
12;09/07/2017;16:01;Cruzeiro;Palmeiras;3;1;L. Venker de Menezes;A. Stival;Mineirão;11;8;6;1;38%;62%;306;484;12;15;1;4;0;0;0;3;1;9
12;09/07/2017;19:00;Santos;São Paulo;3;2;L. Culpi;L. de Oliveira Preto;Estádio Urbano Caldeira;17;14;8;5;52%;48%;442;414;18;5;4;3;0;0;0;2;6;2
12;09/07/2017;19:00;Botafogo;Atlético-MG;1;1;J. Ribeiro Ventura;R. Machado Marques;Estádio Nilton Santos;11;9;3;6;57%;43%;503;391;14;27;1;3;0;0;1;1;4;7
12;10/07/2017;20:01;Coritiba;Sport Recife;0;3;E. Pacheco;V. Luxemburgo da Silva;Couto Pereira;16;12;6;6;59%;41%;399;291;16;18;2;2;1;0;2;2;10;2
13;12/07/2017;19:30;Ponte Preta;Bahia;0;3;G. Kleina;J. de Amorim Campos;Moisés Lucarelli;27;11;9;7;67%;33%;569;307;12;14;1;3;0;0;0;2;18;0
13;12/07/2017;19:31;Atlético-MG;Santos;0;1;R. Machado Marques;L. Culpi;Estádio Raimundo Sampaio;24;10;6;3;64%;36%;485;298;9;13;1;2;0;0;1;3;15;4
13;12/07/2017;20:59;Fluminense;Botafogo;0;1;A. da Silva Braga;J. Ribeiro Ventura;Maracanã;12;16;0;5;59%;41%;509;360;13;20;3;4;0;0;0;2;6;7
13;12/07/2017;21:46;Palmeiras;Corinthians;0;2;A. Stival;F. Carille;Allianz Parque;18;3;3;2;62%;38%;490;332;16;14;3;4;0;0;3;5;8;1
13;12/07/2017;21:46;Athletico-PR;Cruzeiro;0;2;F. Soares Pessoa;L. Venker de Menezes;Estádio Joaquim Américo Guimarães;14;15;6;5;62%;38%;621;403;16;9;3;1;0;0;0;1;9;1
