rodada;data;hora;time_casa;time_fora;gols_casa;gols_fora;tecnico_casa;tecnico_fora;estadio;stat_chutes_casa;stat_chutes_fora;stat_chutes_a_gol_casa;stat_chutes_a_gol_fora;stat_posse_de_bola_casa;stat_posse_de_bola_fora;stat_passes_casa;stat_passes_fora;stat_precisão_de_passe_casa;stat_precisão_de_passe_fora;stat_faltas_casa;stat_faltas_fora;stat_cartões_amarelos_casa;stat_cartões_amarelos_fora;stat_cartões_vermelhos_casa;stat_cartões_vermelhos_fora;stat_impedimentos_casa;stat_impedimentos_fora;stat_escanteios_casa;stat_escanteios_fora
35;17/02/2021;19:30;Coritiba;Palmeiras;1;0;G. Morínigo;A. Moreira Ferreira;Couto Pereira;13;15;4;4;47%;53%;381;434;82%;83%;16;20;2;3;0;1;1;3;5;4
36;13/02/2021;17:00;Goiás;Botafogo;2;0;A. César;L. Flávio;Estádio da Serrinha;11;11;7;3;54%;46%;415;351;84%;82%;22;26;4;3;0;1;2;2;2;5
36;13/02/2021;19:00;Atlético-MG;Bahia;1;1;J. Sampaoli Moya;L. Cavalcanti;Mineirão;21;13;4;5;72%;28%;745;298;90%;77%;10;9;1;1;0;0;1;1;6;2
36;13/02/2021;19:00;Santos;Coritiba;2;0;A. Stival;G. Morínigo;Estádio Urbano Caldeira;17;8;6;3;57%;43%;472;362;85%;83%;15;16;0;4;0;0;3;1;7;3
36;14/02/2021;16:00;Flamengo;Corinthians;2;1;R. Ceni;V. Carmo Mancini;Maracanã;14;11;5;3;66%;34%;597;307;85%;73%;21;16;1;5;0;0;4;1;4;3
36;14/02/2021;16:00;Vasco da Gama;Internacional;0;2;V. Luxemburgo da Silva;A. da Silva Braga;Estádio Vasco da Gama;8;16;0;7;65%;35%;460;257;83%;71%;9;20;1;6;0;0;2;0;3;9
36;14/02/2021;18:14;Athletico-PR;Atlético-GO;2;1;P. Autuori de Mello;M. Ribeiro Cabo;Estádio Joaquim Américo Guimarães;8;11;3;4;60%;40%;453;306;86%;79%;14;9;3;1;0;0;4;3;7;4
36;14/02/2021;18:15;Palmeiras;Fortaleza;3;0;A. Moreira Ferreira;E. Alves Moreira;Allianz Parque;13;5;6;1;68%;32%;611;281;90%;72%;16;11;0;3;0;0;4;0;3;4
36;14/02/2021;20:29;Grêmio;São Paulo;1;2;Renato Gaúcho;M. Vizolli;Arena do Grêmio;5;11;3;4;52%;48%;520;492;86%;87%;19;18;4;4;1;0;0;0;5;2
36;15/02/2021;17:59;Ceará SC;Fluminense;1;3;D. Sampaio de Azambuja;M. de Oliveira;Arena Castelão;13;9;5;4;52%;48%;435;429;85%;82%;18;8;1;1;0;0;0;0;9;0
36;15/02/2021;20:00;Sport Recife;Bragantino;0;0;J. Ribeiro Ventura;M. Nogueira Barbieri;Adelmar da Costa Carvalho;4;22;0;6;31%;69%;273;580;65%;84%;8;10;3;0;0;0;0;1;1;15
37;20/02/2021;18:30;Coritiba;Ceará SC;0;2;G. Morínigo;A. Ferreira;Couto Pereira;16;11;5;4;63%;37%;573;336;88%;76%;14;9;1;0;0;0;2;1;7;5
37;20/02/2021;21:00;Fortaleza;Bahia;0;4;E. Alves Moreira;L. Cavalcanti;Arena Castelão;11;12;3;7;61%;39%;547;353;90%;84%;15;13;3;3;1;0;0;1;2;0
37;21/02/2021;16:01;Sport Recife;Atlético-MG;2;3;J. Ribeiro Ventura;J. Sampaoli Moya;Adelmar da Costa Carvalho;9;25;3;10;39%;61%;372;585;79%;87%;16;13;4;4;0;0;0;0;2;4
37;21/02/2021;16:00;Corinthians;Vasco da Gama;0;0;V. Carmo Mancini;V. Luxemburgo da Silva;Neo Química Arena;14;7;4;0;68%;32%;587;279;85%;71%;23;18;1;2;0;0;1;6;7;4
37;21/02/2021;16:02;Flamengo;Internacional;2;1;R. Ceni;A. da Silva Braga;Maracanã;10;12;4;3;60%;40%;456;302;86%;75%;21;14;4;0;0;1;3;0;1;4
37;21/02/2021;18:14;Santos;Fluminense;1;1;A. Stival;M. de Oliveira;Estádio Urbano Caldeira;8;7;2;3;62%;38%;454;281;84%;75%;20;19;3;4;0;1;1;1;4;4
